transaction_id,transaction_date,description,category,transaction_type,amount,payment_method,expected_category
62,2024-08-14,Langganan software akuntansi,Software & Langganan,Pengeluaran,1489539.0,Kartu Debit,Software & Langganan
63,2024-08-18,Restock produk,Pembelian Stok,Pengeluaran,9388339.0,Kartu Debit,Pembelian Stok
64,2024-08-21,Selisih kas,Lain-lain,Pengeluaran,226112.0,Tunai,Lain-lain
65,2024-08-06,Cicilan pinjaman usaha,Utang & Cicilan,Pengeluaran,11980296.0,Transfer Bank,Utang & Cicilan
66,2024-08-21,Pembelian printer,Peralatan & Aset,Pengeluaran,6105580.0,Transfer Bank,Peralatan & Aset
67,2024-08-24,Biaya admin bank,Biaya Bank,Pengeluaran,49268.0,E-Wallet,Biaya Bank
68,2024-08-03,Bunga pinjaman,Utang & Cicilan,Pengeluaran,2916241.0,Transfer Bank,Utang & Cicilan
69,2024-08-19,Pembelian barang dagang,Pembelian Stok,Pengeluaran,3687870.0,Kartu Kredit,Pembelian Stok
70,2024-08-26,Reimbursement karyawan,Gaji & Karyawan,Pengeluaran,384172.0,Transfer Bank,Gaji & Karyawan
71,2024-08-15,Biaya MDR kartu,Biaya Bank,Pengeluaran,29030.0,Kartu Debit,Biaya Bank
72,2024-08-16,Restock produk,Pembelian Stok,Pengeluaran,24495735.0,Kartu Kredit,Pembelian Stok
73,2024-08-13,Sewa kendaraan,Transportasi & Logistik,Pengeluaran,2691918.0,Tunai,Transportasi & Logistik
74,2024-08-15,Kebersihan kantor,Operasional Kantor,Pengeluaran,239099.0,Kartu Kredit,Operasional Kantor
75,2024-08-11,Pembelian laptop,Peralatan & Aset,Pengeluaran,5849610.0,Kartu Kredit,Peralatan & Aset
76,2024-08-28,Pembelian mesin produksi,Peralatan & Aset,Pengeluaran,34261895.0,Kartu Debit,Peralatan & Aset
77,2024-08-10,Administrasi legal,Pajak & Perizinan,Pengeluaran,8949508.0,Transfer Bank,Pajak & Perizinan
78,2024-08-27,Pembelian bahan baku,Pembelian Stok,Pengeluaran,18877681.0,Tunai,Pembelian Stok
79,2024-08-17,Donasi perusahaan,Lain-lain,Pengeluaran,8923891.0,E-Wallet,Lain-lain
80,2024-08-22,Administrasi legal,Pajak & Perizinan,Pengeluaran,7044052.0,Transfer Bank,Pajak & Perizinan
81,2024-08-14,Biaya izin usaha,Pajak & Perizinan,Pengeluaran,4776107.0,Transfer Bank,Pajak & Perizinan
82,2024-08-04,Bunga pinjaman,Utang & Cicilan,Pengeluaran,4854957.0,Transfer Bank,Utang & Cicilan
83,2024-08-23,Perawatan aset,Peralatan & Aset,Pengeluaran,4947563.0,Kartu Debit,Peralatan & Aset
84,2024-08-24,Pembelian barang dagang,Pembelian Stok,Pengeluaran,19604938.0,Kartu Debit,Pembelian Stok
86,2024-08-15,Cloud storage bisnis,Software & Langganan,Pengeluaran,1303191.0,Kartu Debit,Software & Langganan
87,2024-08-29,Iklan online,Marketing & Promosi,Pengeluaran,7658414.0,Kartu Debit,Marketing & Promosi
88,2024-08-18,Sewa kantor,Operasional Kantor,Pengeluaran,12156045.0,Kartu Debit,Operasional Kantor
89,2024-08-17,Bensin operasional,Transportasi & Logistik,Pengeluaran,158794.0,E-Wallet,Transportasi & Logistik
90,2024-08-20,Domain website,Software & Langganan,Pengeluaran,1195665.0,Transfer Bank,Software & Langganan
91,2024-08-16,Pelunasan kredit usaha,Utang & Cicilan,Pengeluaran,24230387.0,Transfer Bank,Utang & Cicilan
92,2024-08-01,Pelunasan kredit usaha,Utang & Cicilan,Pengeluaran,17957534.0,Transfer Bank,Utang & Cicilan
93,2024-08-16,Kebersihan kantor,Operasional Kantor,Pengeluaran,309809.0,Transfer Bank,Operasional Kantor
94,2024-08-13,Uang lembur,Gaji & Karyawan,Pengeluaran,652385.0,Transfer Bank,Gaji & Karyawan
95,2024-08-28,Sewa kendaraan,Transportasi & Logistik,Pengeluaran,1453187.0,Tunai,Transportasi & Logistik
96,2024-08-27,Biaya MDR kartu,Biaya Bank,Pengeluaran,333647.0,QRIS,Biaya Bank
97,2024-08-22,Perawatan aset,Peralatan & Aset,Pengeluaran,3971701.0,Kartu Kredit,Peralatan & Aset
98,2024-08-22,Restock produk,Pembelian Stok,Pengeluaran,28995365.0,E-Wallet,Pembelian Stok
99,2024-09-18,Tambahan modal operasional,Modal & Investasi,Pemasukan,12992206.0,Transfer Bank,Modal & Investasi
100,2024-09-01,Investasi investor,Modal & Investasi,Pemasukan,68710369.0,Transfer Bank,Modal & Investasi
101,2024-09-02,Pelunasan invoice,Piutang,Pemasukan,25903994.0,Transfer Bank,Piutang
102,2024-09-04,Setoran modal pemilik,Modal & Investasi,Pemasukan,46680530.0,Transfer Bank,Modal & Investasi
103,2024-09-22,Investasi investor,Modal & Investasi,Pemasukan,62932860.0,Transfer Bank,Modal & Investasi
104,2024-09-19,Pendapatan proyek,Penjualan,Pemasukan,4614313.0,Kartu Debit,Penjualan
105,2024-09-05,Pendapatan grosir,Penjualan,Pemasukan,23397927.0,QRIS,Penjualan
106,2024-09-06,Pembayaran piutang pelanggan,Piutang,Pemasukan,3261961.0,QRIS,Piutang
107,2024-09-17,Pendapatan proyek,Penjualan,Pemasukan,18285919.0,E-Wallet,Penjualan
108,2024-09-11,Penjualan produk,Penjualan,Pemasukan,2215080.0,Tunai,Penjualan
109,2024-09-26,Pembayaran utang supplier,Utang & Cicilan,Pengeluaran,31065960.0,Transfer Bank,Utang & Cicilan
110,2024-09-17,Biaya endorsement,Marketing & Promosi,Pengeluaran,15098314.0,Transfer Bank,Marketing & Promosi
111,2024-09-09,Diskon promosi,Marketing & Promosi,Pengeluaran,3185588.5,Transfer Bank,Marketing & Promosi
112,2024-09-11,Pembelian furniture kantor,Peralatan & Aset,Pengeluaran,13909115.0,Transfer Bank,Peralatan & Aset
113,2024-09-15,Cloud storage bisnis,Software & Langganan,Pengeluaran,1801795.0,Transfer Bank,Software & Langganan
114,2024-09-05,Pembelian laptop,Peralatan & Aset,Pengeluaran,20067357.0,Transfer Bank,Peralatan & Aset
115,2024-09-11,Sewa kendaraan,Transportasi & Logistik,Pengeluaran,2297766.0,Kartu Debit,Transportasi & Logistik
116,2024-09-19,Pelunasan kredit usaha,Utang & Cicilan,Pengeluaran,31756983.0,Transfer Bank,Utang & Cicilan
117,2024-09-15,Biaya MDR kartu,Biaya Bank,Pengeluaran,562151.0,E-Wallet,Biaya Bank
118,2024-09-18,Selisih kas,Lain-lain,Pengeluaran,324509.0,Transfer Bank,Lain-lain
119,2024-09-23,BPJS Karyawan,Gaji & Karyawan,Pengeluaran,1197107.0,Transfer Bank,Gaji & Karyawan
120,2024-09-01,Perawatan aset,Peralatan & Aset,Pengeluaran,2581302.0,Transfer Bank,Peralatan & Aset
121,2024-09-01,THR,Gaji & Karyawan,Pengeluaran,2077812.0,Transfer Bank,Gaji & Karyawan
122,2024-09-17,Iklan online,Marketing & Promosi,Pengeluaran,19048948.0,Transfer Bank,Marketing & Promosi
123,2024-09-16,Kurir,Transportasi & Logistik,Pengeluaran,1775182.0,Tunai,Transportasi & Logistik
124,2024-09-15,Bunga pinjaman,Utang & Cicilan,Pengeluaran,2063293.0,Transfer Bank,Utang & Cicilan
125,2024-09-06,Cloud storage bisnis,Software & Langganan,Pengeluaran,582060.0,E-Wallet,Software & Langganan
126,2024-09-27,Cicilan pinjaman usaha,Utang & Cicilan,Pengeluaran,17384389.0,Transfer Bank,Utang & Cicilan
127,2024-09-05,Donasi perusahaan,Lain-lain,Pengeluaran,1649125.0,Transfer Bank,Lain-lain
128,2024-09-10,PPh,Pajak & Perizinan,Pengeluaran,9624700.0,Transfer Bank,Pajak & Perizinan
129,2024-09-18,Donasi perusahaan,Lain-lain,Pengeluaran,1988448.0,Transfer Bank,Lain-lain
130,2024-09-08,Pembelian mesin produksi,Peralatan & Aset,Pengeluaran,8560130.0,Kartu Kredit,Peralatan & Aset
131,2024-09-25,Gaji karyawan,Gaji & Karyawan,Pengeluaran,4976870.0,Transfer Bank,Gaji & Karyawan
132,2024-09-17,Cicilan pinjaman usaha,Utang & Cicilan,Pengeluaran,1931952.0,Transfer Bank,Utang & Cicilan
133,2024-09-07,Biaya tarik tunai,Biaya Bank,Pengeluaran,26541.0,Kartu Debit,Biaya Bank
134,2024-09-15,Pelunasan kredit usaha,Utang & Cicilan,Pengeluaran,21724193.0,Transfer Bank,Utang & Cicilan
135,2024-10-15,Investasi investor,Modal & Investasi,Pemasukan,162741202.0,Transfer Bank,Modal & Investasi
136,2024-10-18,Pinjaman usaha,Modal & Investasi,Pemasukan,25817255.0,Transfer Bank,Modal & Investasi
137,2024-10-24,Penjualan jasa,Penjualan,Pemasukan,15856979.0,Kartu Debit,Penjualan
138,2024-10-16,Pinjaman usaha,Modal & Investasi,Pemasukan,25875924.0,Transfer Bank,Modal & Investasi
139,2024-10-13,Investasi investor,Modal & Investasi,Pemasukan,233030487.0,Transfer Bank,Modal & Investasi
140,2024-10-21,Investasi investor,Modal & Investasi,Pemasukan,136516640.0,Transfer Bank,Modal & Investasi
141,2024-10-01,DP dari pelanggan,Piutang,Pemasukan,1214992.0,Payment Gateway,Piutang
142,2024-10-23,Pinjaman usaha,Modal & Investasi,Pemasukan,99894449.0,Transfer Bank,Modal & Investasi
143,2024-10-18,DP dari pelanggan,Piutang,Pemasukan,7727644.0,QRIS,Piutang
144,2024-10-23,Diskon promosi,Marketing & Promosi,Pengeluaran,1844609.0,Kartu Kredit,Marketing & Promosi
145,2024-10-13,Biaya izin usaha,Pajak & Perizinan,Pengeluaran,13386764.0,Transfer Bank,Pajak & Perizinan
146,2024-10-24,ATK,Operasional Kantor,Pengeluaran,544804.0,Kartu Debit,Operasional Kantor
147,2024-10-14,Tools desain,Software & Langganan,Pengeluaran,1893315.0,E-Wallet,Software & Langganan
148,2024-10-29,Event marketing,Marketing & Promosi,Pengeluaran,12273227.0,Transfer Bank,Marketing & Promosi
149,2024-10-30,THR,Gaji & Karyawan,Pengeluaran,4544488.0,Transfer Bank,Gaji & Karyawan
150,2024-10-27,Hosting website,Software & Langganan,Pengeluaran,202144.0,Kartu Debit,Software & Langganan
151,2024-10-11,Langganan software akuntansi,Software & Langganan,Pengeluaran,243158.0,Kartu Kredit,Software & Langganan
152,2024-10-21,Pembayaran utang supplier,Utang & Cicilan,Pengeluaran,7656559.0,Transfer Bank,Utang & Cicilan
153,2024-10-14,Pelunasan kredit usaha,Utang & Cicilan,Pengeluaran,39693522.0,Transfer Bank,Utang & Cicilan
154,2024-10-20,Reimbursement karyawan,Gaji & Karyawan,Pengeluaran,323617.0,Transfer Bank,Gaji & Karyawan
155,2024-10-28,Cicilan pinjaman usaha,Utang & Cicilan,Pengeluaran,4834243.0,Transfer Bank,Utang & Cicilan
156,2024-10-07,Pembelian barang dagang,Pembelian Stok,Pengeluaran,15677266.0,Transfer Bank,Pembelian Stok
157,2024-10-30,Iklan online,Marketing & Promosi,Pengeluaran,6924582.0,Kartu Kredit,Marketing & Promosi
158,2024-10-30,Pembelian furniture kantor,Peralatan & Aset,Pengeluaran,3765201.0,Kartu Debit,Peralatan & Aset
159,2024-10-03,Pembelian mesin produksi,Peralatan & Aset,Pengeluaran,36445035.0,Kartu Kredit,Peralatan & Aset
160,2024-10-23,Tools desain,Software & Langganan,Pengeluaran,2005620.0,Lainnya,Software & Langganan
161,2024-10-10,Listrik kantor,Operasional Kantor,Pengeluaran,110501.0,Lainnya,Operasional Kantor
162,2024-10-10,Domain website,Software & Langganan,Pengeluaran,1296419.0,Transfer Bank,Software & Langganan
163,2024-10-16,Pelunasan kredit usaha,Utang & Cicilan,Pengeluaran,24230387.0,Transfer Bank,Utang & Cicilan
164,2024-10-24,Pembelian perlengkapan produksi,Pembelian Stok,Pengeluaran,2197116.0,Transfer Bank,Pembelian Stok
165,2024-10-07,Bensin operasional,Transportasi & Logistik,Pengeluaran,169362.0,Transfer Bank,Transportasi & Logistik
166,2024-10-19,Domain website,Software & Langganan,Pengeluaran,2066515.0,Kartu Debit,Software & Langganan
168,2024-10-30,BPJS Karyawan,Gaji & Karyawan,Pengeluaran,598297.0,Transfer Bank,Gaji & Karyawan
169,2024-10-10,Hosting website,Software & Langganan,Pengeluaran,402189.0,Kartu Debit,Software & Langganan
170,2024-10-24,Biaya transfer,Biaya Bank,Pengeluaran,30160.0,Transfer Bank,Biaya Bank
171,2024-10-06,Pelunasan kredit usaha,Utang & Cicilan,Pengeluaran,48817876.0,Transfer Bank,Utang & Cicilan
172,2024-10-20,Hosting website,Software & Langganan,Pengeluaran,1452228.0,Kartu Kredit,Software & Langganan
173,2024-10-10,Bensin operasional,Transportasi & Logistik,Pengeluaran,124170.0,E-Wallet,Transportasi & Logistik
174,2024-10-03,Diskon promosi,Marketing & Promosi,Pengeluaran,4599475.0,E-Wallet,Marketing & Promosi
175,2024-10-02,Biaya MDR kartu,Biaya Bank,Pengeluaran,466730.0,Payment Gateway,Biaya Bank
176,2024-10-09,Biaya transfer,Biaya Bank,Pengeluaran,26502.0,Transfer Bank,Biaya Bank
177,2024-10-24,Diskon promosi,Marketing & Promosi,Pengeluaran,4146383.0,E-Wallet,Marketing & Promosi
178,2024-10-30,Biaya admin bank,Biaya Bank,Pengeluaran,10485.0,E-Wallet,Biaya Bank
179,2024-10-25,PPN,Pajak & Perizinan,Pengeluaran,41936382.0,Transfer Bank,Pajak & Perizinan
180,2024-10-30,Pembelian mesin produksi,Peralatan & Aset,Pengeluaran,23192969.0,Transfer Bank,Peralatan & Aset
181,2024-10-24,Pembelian furniture kantor,Peralatan & Aset,Pengeluaran,8060893.0,Transfer Bank,Peralatan & Aset
182,2024-10-13,Biaya admin bank,Biaya Bank,Pengeluaran,31239.0,Transfer Bank,Biaya Bank
183,2024-10-07,Selisih kas,Lain-lain,Pengeluaran,172883.0,Transfer Bank,Lain-lain
184,2024-10-12,Kurir,Transportasi & Logistik,Pengeluaran,1651034.0,Transfer Bank,Transportasi & Logistik
185,2024-10-22,Uang lembur,Gaji & Karyawan,Pengeluaran,1174696.0,Transfer Bank,Gaji & Karyawan
186,2024-10-07,Cetak brosur,Marketing & Promosi,Pengeluaran,2908980.0,Kartu Kredit,Marketing & Promosi
187,2024-10-01,Bunga pinjaman,Utang & Cicilan,Pengeluaran,3666553.0,Transfer Bank,Utang & Cicilan
188,2024-10-04,Biaya admin bank,Biaya Bank,Pengeluaran,18520.0,Transfer Bank,Biaya Bank
189,2024-10-02,Listrik kantor,Operasional Kantor,Pengeluaran,949531.0,Kartu Debit,Operasional Kantor
190,2024-10-07,Biaya MDR kartu,Biaya Bank,Pengeluaran,672292.0,QRIS,Biaya Bank
191,2024-10-15,Selisih kas,Lain-lain,Pengeluaran,250601.0,E-Wallet,Lain-lain
192,2024-10-19,Kurir,Transportasi & Logistik,Pengeluaran,1594504.0,E-Wallet,Transportasi & Logistik
193,2024-10-03,Reimbursement karyawan,Gaji & Karyawan,Pengeluaran,1828311.0,Transfer Bank,Gaji & Karyawan
194,2024-10-11,Pembelian furniture kantor,Peralatan & Aset,Pengeluaran,4300635.0,Kartu Kredit,Peralatan & Aset
195,2024-10-19,Event marketing,Marketing & Promosi,Pengeluaran,4777552.0,Kartu Kredit,Marketing & Promosi
196,2024-10-17,Bonus karyawan,Gaji & Karyawan,Pengeluaran,4651164.0,Transfer Bank,Gaji & Karyawan
197,2024-10-15,Langganan software akuntansi,Software & Langganan,Pengeluaran,2412909.0,Kartu Kredit,Software & Langganan
198,2024-10-08,Pembelian printer,Peralatan & Aset,Pengeluaran,8495955.0,Kartu Debit,Peralatan & Aset
199,2024-10-13,Kebersihan kantor,Operasional Kantor,Pengeluaran,378880.0,Kartu Kredit,Operasional Kantor
201,2024-10-27,Event marketing,Marketing & Promosi,Pengeluaran,14903209.0,E-Wallet,Marketing & Promosi
202,2024-10-27,Parkir operasional,Transportasi & Logistik,Pengeluaran,167809.0,Kartu Debit,Transportasi & Logistik
203,2024-10-25,Restock produk,Pembelian Stok,Pengeluaran,15684142.0,Kartu Debit,Pembelian Stok
204,2024-10-03,ATK,Operasional Kantor,Pengeluaran,809456.0,Transfer Bank,Operasional Kantor
205,2024-10-16,Biaya tak terduga,Lain-lain,Pengeluaran,4896239.0,Tunai,Lain-lain
206,2024-10-04,Biaya transfer,Biaya Bank,Pengeluaran,15865.0,Kartu Debit,Biaya Bank
207,2024-10-28,Perawatan aset,Peralatan & Aset,Pengeluaran,2877940.0,Transfer Bank,Peralatan & Aset
208,2024-10-03,Biaya admin bank,Biaya Bank,Pengeluaran,5623.0,Payment Gateway,Biaya Bank
209,2024-10-18,Listrik kantor,Operasional Kantor,Pengeluaran,703789.0,Tunai,Operasional Kantor
210,2024-10-26,Pembelian furniture kantor,Peralatan & Aset,Pengeluaran,10206641.0,Kartu Debit,Peralatan & Aset
211,2024-10-25,Sewa kantor,Operasional Kantor,Pengeluaran,4833793.0,Kartu Debit,Operasional Kantor
212,2024-10-09,PPh,Pajak & Perizinan,Pengeluaran,18781452.0,Transfer Bank,Pajak & Perizinan
213,2024-10-14,Gaji karyawan,Gaji & Karyawan,Pengeluaran,10125946.5,Transfer Bank,Gaji & Karyawan
214,2024-10-15,Biaya ekspedisi,Transportasi & Logistik,Pengeluaran,2808760.0,Transfer Bank,Transportasi & Logistik
215,2024-10-21,Air kantor,Operasional Kantor,Pengeluaran,1454178.0,Tunai,Operasional Kantor
216,2024-10-23,Selisih kas,Lain-lain,Pengeluaran,413158.0,Transfer Bank,Lain-lain
217,2024-10-23,Cicilan pinjaman usaha,Utang & Cicilan,Pengeluaran,10217712.0,Transfer Bank,Utang & Cicilan
218,2024-10-29,Pembelian printer,Peralatan & Aset,Pengeluaran,14136848.0,Kartu Kredit,Peralatan & Aset
219,2024-10-10,Perawatan aset,Peralatan & Aset,Pengeluaran,3388799.0,Kartu Debit,Peralatan & Aset
220,2024-10-13,Kebersihan kantor,Operasional Kantor,Pengeluaran,306970.0,Tunai,Operasional Kantor
221,2024-10-27,Bunga pinjaman,Utang & Cicilan,Pengeluaran,4513887.0,Transfer Bank,Utang & Cicilan
222,2024-10-07,ATK,Operasional Kantor,Pengeluaran,708964.0,Tunai,Operasional Kantor
223,2024-10-22,Pembelian furniture kantor,Peralatan & Aset,Pengeluaran,8153893.0,Kartu Kredit,Peralatan & Aset
224,2024-10-09,Biaya endorsement,Marketing & Promosi,Pengeluaran,5773925.0,Kartu Debit,Marketing & Promosi
225,2024-10-03,Kurir,Transportasi & Logistik,Pengeluaran,949059.0,Kartu Debit,Transportasi & Logistik
226,2024-10-14,Bonus karyawan,Gaji & Karyawan,Pengeluaran,5406622.0,Transfer Bank,Gaji & Karyawan
227,2024-10-15,Langganan software akuntansi,Software & Langganan,Pengeluaran,2143566.0,E-Wallet,Software & Langganan
228,2024-10-13,Cetak brosur,Marketing & Promosi,Pengeluaran,1853641.0,Kartu Debit,Marketing & Promosi
229,2024-10-13,Koreksi transaksi,Lain-lain,Pengeluaran,277865.0,E-Wallet,Lain-lain
230,2024-10-30,Biaya tak terduga,Lain-lain,Pengeluaran,8094699.0,E-Wallet,Lain-lain
231,2024-10-03,Refund pelanggan,Lain-lain,Pengeluaran,4035954.0,E-Wallet,Lain-lain
232,2024-10-05,Cetak brosur,Marketing & Promosi,Pengeluaran,4561895.0,Transfer Bank,Marketing & Promosi
233,2024-10-11,Biaya endorsement,Marketing & Promosi,Pengeluaran,10393102.0,E-Wallet,Marketing & Promosi
234,2024-10-23,Pelunasan kredit usaha,Utang & Cicilan,Pengeluaran,46707483.0,Transfer Bank,Utang & Cicilan
235,2024-11-24,Pendapatan marketplace,Penjualan,Pemasukan,4208441.0,Tunai,Penjualan
236,2024-11-22,Pendapatan proyek,Penjualan,Pemasukan,18476748.0,Payment Gateway,Penjualan
237,2024-11-20,Penjualan jasa,Penjualan,Pemasukan,3595377.0,Tunai,Penjualan
238,2024-11-11,Tambahan modal operasional,Modal & Investasi,Pemasukan,13045200.0,Transfer Bank,Modal & Investasi
239,2024-11-11,Setoran modal pemilik,Modal & Investasi,Pemasukan,32100000.0,Transfer Bank,Modal & Investasi
240,2024-11-26,Cicilan pelanggan,Piutang,Pemasukan,393858.0,Transfer Bank,Piutang
241,2024-11-25,Pendapatan proyek,Penjualan,Pemasukan,12165333.0,QRIS,Penjualan
242,2024-11-13,DP dari pelanggan,Piutang,Pemasukan,1475618.0,QRIS,Piutang
243,2024-11-22,Pembelian printer,Peralatan & Aset,Pengeluaran,4215919.0,Kartu Debit,Peralatan & Aset
244,2024-11-20,Hosting website,Software & Langganan,Pengeluaran,661136.0,Kartu Kredit,Software & Langganan
245,2024-11-02,Biaya payment gateway,Biaya Bank,Pengeluaran,924373.0,Payment Gateway,Biaya Bank
246,2024-11-18,Biaya endorsement,Marketing & Promosi,Pengeluaran,12462120.0,Transfer Bank,Marketing & Promosi
